Game Completed Date,User ID,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region,Game Code
2020-11-25 23:22:31,3,Imposter,Win,,,,2.0,685,No,,,+++,NA , UHWTVF
2020-11-25 23:03:21,3,Imposter,Win,,,,4.0,800,No,,,+++,NA , PQCGGF
2020-11-25 22:33:38,3,Crewmate,Loss,3.0,No,No,,691,No,1.0,,---,NA , PMVNCF
2020-11-25 22:20:40,3,Imposter,Win,,,,1.0,377,No,,,+++,NA , PMVNCF
2020-11-25 22:02:28,3,Crewmate,Loss,5.0,No,Yes,,720,No,0.0,,---,NA , PMVNCF
2020-11-25 21:46:11,3,Crewmate,Loss,5.0,No,Yes,,678,No,1.0,,---,NA , PMVNCF
2020-11-25 21:33:41,3,Crewmate,Win,1.0,No,No,,742,No,0.0,,++,NA , PMVNCF
2020-11-25 21:19:28,3,Crewmate,Loss,7.0,Yes,Yes,,884,No,0.0,11m 27s,--,NA , PMVNCF
2020-11-25 21:03:04,3,Crewmate,Win,3.0,No,Yes,,716,No,3.0,,++,NA , PMVNCF
2020-11-25 20:48:17,3,Crewmate,Win,6.0,No,No,,735,No,1.0,,++,NA , RMMVVF
2020-11-25 20:31:04,3,Imposter,Win,,,,4.0,669,No,,,+++,NA , RMMVVF
2020-11-25 20:17:46,3,Crewmate,Win,7.0,Yes,No,,997,No,0.0,04m 57s,++,NA , RMMVVF
2020-11-25 19:54:36,3,Imposter,Loss,,,,2.0,1234,Yes,,,-,NA , RMMVVF
2020-11-25 19:27:51,3,Crewmate,Loss,7.0,Yes,Yes,,1529,No,0.0,22m 03s,--,NA , RMMVVF
2020-11-25 19:01:57,3,Crewmate,Win,2.0,No,Yes,,635,No,1.0,,++,NA , RMMVVF
2020-11-25 18:20:26,3,Crewmate,Loss,5.0,No,Yes,,475,No,1.0,,---,NA , ETEEJF
2020-11-25 18:10:28,3,Imposter,Win,,,,4.0,852,No,,,+++,NA , ETEEJF
2020-11-25 17:54:23,3,Imposter,Win,,,,2.0,594,No,,,+++,NA , ETEEJF
